Nrun,Variant,Input,Score,Nregions,EvaluatedRegions,EvaluatedCombinations,Totaltime,SuggestedRegions,SuggestedDuration,SuggestedBudget
1,3,1,40.0,3,30,140,349.69,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
1,3,1,40.0,3,30,140,349.69,Central Asia; Southeast Asia; Russland and Caucasus,Central Asia; Southeast Asia; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; Southeast Asia; Russland and Caucasus-350.0; 0.0; 0.0
2,3,1,39.0,3,26,135,296.83,Central Asia; Near and Middle East; Russland and Caucasus,Central Asia; Near and Middle East; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; Near and Middle East; Russland and Caucasus-350.0; 0.0; 0.0
2,3,1,39.0,3,26,135,296.83,USA Texas; USA; USA Pacific Northwest,USA Texas; USA; USA Pacific Northwest-1.0; 1.0; 1.0,USA Texas; USA; USA Pacific Northwest-0.0; 600.0; 0.0
2,3,1,40.0,3,26,135,296.83,Brazil; Brazil South; Brazil Southeast,Brazil; Brazil South; Brazil Southeast-1.0; 1.0; 1.0,Brazil; Brazil South; Brazil Southeast-625.0; 0.0; 0.0
3,3,1,40.0,3,29,165,371.45,North Europe; Southern Europe; British Islands,North Europe; Southern Europe; British Islands-1.0; 1.0; 1.0,North Europe; Southern Europe; British Islands-0.0; 350.0; 420.0
3,3,1,40.0,3,29,165,371.45,Central Europe; North Europe; Southern Europe,Central Europe; North Europe; Southern Europe-1.0; 1.0; 1.0,Central Europe; North Europe; Southern Europe-0.0; 0.0; 350.0
3,3,1,38.0,3,29,165,371.45,Central Asia; Southeast Asia; Near and Middle East,Central Asia; Southeast Asia; Near and Middle East-1.0; 1.0; 1.0,Central Asia; Southeast Asia; Near and Middle East-350.0; 0.0; 0.0
4,3,1,39.0,3,27,124,234.5,Central Asia; South Asia; Russland and Caucasus,Central Asia; South Asia; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; South Asia; Russland and Caucasus-350.0; 0.0; 0.0
4,3,1,39.0,3,27,124,234.5,Central Asia; Near and Middle East; Russland and Caucasus,Central Asia; Near and Middle East; Russland and Caucasus-1.0; 1.0; 1.0,Central Asia; Near and Middle East; Russland and Caucasus-350.0; 0.0; 0.0
4,3,1,39.0,3,27,124,234.5,USA Texas; USA; USA Pacific Northwest,USA Texas; USA; USA Pacific Northwest-1.0; 1.0; 1.0,USA Texas; USA; USA Pacific Northwest-0.0; 600.0; 0.0
5,3,1,40.0,3,24,98,323.65,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
5,3,1,40.0,3,24,98,323.65,Southeast Asia; East Asia; Russland and Caucasus,Southeast Asia; East Asia; Russland and Caucasus-1.0; 1.0; 1.0,Southeast Asia; East Asia; Russland and Caucasus-0.0; 450.0; 0.0
